#### ESC+< , CTRL+BARRA , CTRL+W, CTRL+Y, ESC+%, CTRL+Y, ENTER, REEMPLAZO, ENTER, ! ########
 12Z 28 07 2017,  0.00 , 25.48
 00Z 29 07 2017,  0.00 , 11.71
 12Z 29 07 2017,  0.00 , 13.53
 00Z 30 07 2017,  0.00 , 26.18
 12Z 30 07 2017,  3.00 , 28.84
 00Z 31 07 2017,  197.20 , 27.46
 12Z 31 07 2017,  0.00 , 24.56
 00Z 01 08 2017,  1011.37 , 34.47
 12Z 01 08 2017,  345.68 , 28.93
 00Z 02 08 2017,  313.91 , 30.39
 12Z 02 08 2017,  15.05 , 26.29
 00Z 03 08 2017,  343.89 , 26.57
 12Z 03 08 2017,  0.00 , 31.44
 00Z 04 08 2017,  99.23 , 33.85
 12Z 04 08 2017,  207.33 , 34.32
 00Z 05 08 2017,  30.93 , 35.93
 12Z 05 08 2017,  4.56 , 23.77
 00Z 06 08 2017,  25.71 , 15.94
 12Z 06 08 2017,  25.01 , 18.69
 00Z 07 08 2017,  140.14 , 24.68
 12Z 07 08 2017,  119.20 , 26.83
 00Z 08 08 2017,  0.02 , 26.68
 12Z 08 08 2017,  144.12 , 18.55
 00Z 09 08 2017,  8.32 , 23.38
 12Z 09 08 2017,  53.52 , 25.37
 00Z 10 08 2017,  94.57 , 21.40
 12Z 10 08 2017,  8.37 , 19.70
 00Z 11 08 2017,  12.95 , 22.06
 12Z 11 08 2017,  11.47 , 33.65
 00Z 12 08 2017,  55.31 , 30.54
 12Z 12 08 2017,  682.61 , 28.02
 00Z 13 08 2017,  250.14 , 29.06
 12Z 13 08 2017,  13.43 , 18.43
 00Z 14 08 2017,  0.94 , 18.98
 12Z 14 08 2017,  0.00 , 22.31
 00Z 15 08 2017,  256.78 , 30.17
 12Z 15 08 2017,  98.92 , 31.15
 00Z 16 08 2017,  251.13 , 32.10
 12Z 16 08 2017,  21.19 , 23.94
 00Z 17 08 2017,  12.18 , 21.18
 12Z 17 08 2017,  0.00 , 27.09
 00Z 18 08 2017,  279.82 , 53.64
 12Z 18 08 2017,  191.13 , 27.61
 00Z 19 08 2017,  89.06 , 27.72
 12Z 19 08 2017,  0.09 , 26.62
 00Z 20 08 2017,  141.50 , 28.61
 12Z 20 08 2017,  36.48 , 26.52
 00Z 21 08 2017,  0.00 , 21.67
 12Z 21 08 2017,  0.00 , 31.98
 00Z 22 08 2017,  218.10 , 28.63
 12Z 22 08 2017,  647.26 , 41.30
 15Z 22 08 2017,  409.82 , 45.07
 12Z 25 08 2017,  0.00 , 16.47
 00Z 26 08 2017,  0.00 , 9.82
 12Z 26 08 2017,  0.00 , 13.50
 00Z 27 08 2017,  0.00 , 14.72
 12Z 27 08 2017,  0.00 , 13.65
 00Z 28 08 2017,  0.00 , 16.71
 12Z 28 08 2017,  0.00 , 17.27
 00Z 29 08 2017,  0.00 , 21.76
 12Z 29 08 2017,  0.00 , 22.93
 00Z 30 08 2017,  0.00 , 22.79
 12Z 30 08 2017,  22.16 , 25.56
 00Z 31 08 2017,  0.00 , 25.32
 12Z 31 08 2017,  43.77 , 27.91
 00Z 01 09 2017,  28.07 , 12.78
 00Z 03 09 2017,  0.00 , 25.21
 12Z 03 09 2017,  0.00 , 32.06
 00Z 04 09 2017,  25.66 , 22.95
 12Z 04 09 2017,  0.00 , 24.64
 00Z 05 09 2017,  153.31 , 33.10
 12Z 05 09 2017,  0.00 , 27.70
 00Z 06 09 2017,  31.13 , 16.86
 12Z 06 09 2017,  72.36 , 20.57
 18Z 06 09 2017,  152.36 , 19.42
 00Z 07 09 2017,  137.58 , 20.51
 06Z 07 09 2017,  82.33 , 19.48
 12Z 07 09 2017,  104.29 , 19.30
 18Z 07 09 2017,  190.14 , 16.76
 00Z 08 09 2017,  176.81 , 20.28
 06Z 08 09 2017,  15.88 , 19.87
 12Z 08 09 2017,  14.49 , 20.05
 18Z 08 09 2017,  21.26 , 19.04
 00Z 09 09 2017,  37.22 , 17.56
 06Z 09 09 2017,  8.89 , 15.41
 12Z 09 09 2017,  0.00 , 12.14
 18Z 09 09 2017,  0.00 , 12.04
 00Z 10 09 2017,  0.11 , 14.47
 06Z 10 09 2017,  0.00 , 15.53
 12Z 10 09 2017,  0.00 , 15.45
 18Z 10 09 2017,  0.00 , 15.63
 00Z 11 09 2017,  0.00 , 13.98
 12Z 11 09 2017,  0.00 , 12.80
 00Z 12 09 2017,  0.00 , 13.91
 12Z 12 09 2017,  0.00 , 11.44
 00Z 13 09 2017,  0.00 , 12.46
 12Z 13 09 2017,  0.00 , 26.80
 00Z 14 09 2017,  314.13 , 29.66
 12Z 14 09 2017,  4.47 , 34.27
 00Z 15 09 2017,  2.31 , 27.59
 12Z 15 09 2017,  0.00 , 27.07
 00Z 16 09 2017,  5.14 , 27.08
 12Z 16 09 2017,  0.00 , 23.57
 18Z 16 09 2017,  21.49 , 22.94
 00Z 17 09 2017,  300.88 , 24.51
 06Z 17 09 2017,  4.48 , 23.17
 12Z 17 09 2017,  5.90 , 24.65
 18Z 17 09 2017,  56.79 , 26.22
 00Z 18 09 2017,  2.20 , 26.26
 06Z 18 09 2017,  206.33 , 31.38
 12Z 18 09 2017,  93.92 , 29.95
 18Z 18 09 2017,  88.73 , 28.94
 00Z 19 09 2017,  1315.37 , 37.45
 06Z 19 09 2017,  333.50 , 37.97
 12Z 19 09 2017,  77.76 , 37.51
 00Z 20 09 2017,  949.44 , 33.26
 12Z 20 09 2017,  0.00 , 24.70
 00Z 21 09 2017,  91.43 , 25.55
 12Z 21 09 2017,  0.00 , 20.42
 00Z 22 09 2017,  269.90 , 30.27
 12Z 22 09 2017,  0.00 , 25.54
 00Z 23 09 2017,  0.00 , 23.90
 12Z 23 09 2017,  0.00 , 28.92
 18Z 23 09 2017,  0.00 , 32.39
 00Z 24 09 2017,  0.00 , 31.46
 06Z 24 09 2017,  6.90 , 28.89
 12Z 24 09 2017,  141.15 , 30.64
 18Z 24 09 2017,  133.05 , 28.58
 00Z 25 09 2017,  1237.65 , 31.37
 06Z 25 09 2017,  199.72 , 26.77
 12Z 25 09 2017,  168.51 , 29.77
 18Z 25 09 2017,  461.04 , 28.91
 00Z 26 09 2017,  1246.32 , 34.89
 12Z 26 09 2017,  202.75 , 34.03
 00Z 27 09 2017,  11.99 , 32.98
 12Z 27 09 2017,  24.86 , 30.35
 00Z 28 09 2017,  0.00 , 32.26
